DEPARTAMENTO DEL HECHO;GENERICA;ESPECIFICA;MODALIDAD;2015;2016;2017;2018;2019;2020;2021;2022
DEPARTAMENTO DE LIMA 2/;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;PERTURBACION DE LA TRANQUILIDAD;;6;23;5;4;5;2;4
DEPARTAMENTO DE LIMA 2/;FALTAS;FALTAS CONTRA LAS PERSONAS;AGRESION SIN DAÑO;216;548;584;537;469;446;534;423
DEPARTAMENTO DE LIMA 2/;FALTAS;FALTAS CONTRA LAS PERSONAS;DAÑO;6;8;;110;123;117;168;143
DEPARTAMENTO DE LIMA 2/;FALTAS;FALTAS CONTRA LAS PERSONAS;FALTAS CONTRA LAS PERSONAS;1920;327;;;;;;
DEPARTAMENTO DE LIMA 2/;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION CULPOSA;4;;;12;5;20;25;12
DEPARTAMENTO DE LIMA 2/;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA;1;6;171;353;203;191;268;219
DEPARTAMENTO DE LIMA 2/;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA Y LESION CULPOSA;238;638;18;;;;;
DEPARTAMENTO DE LIMA 2/;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES;;;76;;;;;
DEPARTAMENTO DE LIMA 2/;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES;;;12;;;;;
DEPARTAMENTO DE LIMA 2/;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES POR VIOLENCIA FAMILIAR;;;24;;;;;
DEPARTAMENTO DE LIMA 2/;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO;;515;171;33;51;47;63;41
DEPARTAMENTO DE LIMA 2/;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO SIN LESION;9;9;;;;;;
DEPARTAMENTO DE LIMA 2/;FALTAS;OTRAS FALTAS (ESPECIFIQUE);OTRAS FALTAS (ESPECIFIQUE);2;;;;;;;
HUANCAVELICA;FALTAS;FALTAS CONTRA EL PATRIMONIO;FALTAS CONTRA EL PATRIMONIO;647;1;;;;;;
HUANCAVELICA;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO FAMELICO;;1;2;;;1;1;
HUANCAVELICA;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE;;3;1;37;36;39;52;27
HUANCAVELICA;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE Y DAÑO;;366;443;;;;;
HUANCAVELICA;FALTAS;FALTAS CONTRA EL PATRIMONIO;INGRESO DE ANIMALES EN INMUEBLE AJENO;;26;22;;1;;;
HUANCAVELICA;FALTAS;FALTAS CONTRA EL PATRIMONIO;ORGANIZACION O PARTICIPACION EN JUEGOS PROHIBIDOS;;27;;;;;;
HUANCAVELICA;FALTAS;FALTAS CONTRA EL PATRIMONIO;PROTECCION DE SEÑALES SATELITALES ENCRIPTADAS;;1;1;;;;;
HUANCAVELICA;FALTAS;FALTAS CONTRA EL PATRIMONIO;USURPACION BREVE;;27;61;;6;7;7;1
HUANCAVELICA;FALTAS;FALTAS CONTRA LA SEGURIDAD PUBLICA;FALTAS CONTRA LA SEGURIDAD PUBLICA;86;5;233;4;1;5;4;2
HUANCAVELICA;FALTAS;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;;6;30;1;2;8;4;8
HUANCAVELICA;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;FALTAS CONTRA LAS BUENAS COSTUMBRES;18;;;;;;;
HUANCAVELICA;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;OTRAS FALTAS CONTRA LAS BUENAS COSTUMBRES;;4;30;5;18;21;;
HUANCAVELICA;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;PERTURBACION DE LA TRANQUILIDAD;;2;26;;;;2;
HUANCAVELICA;FALTAS;FALTAS CONTRA LAS PERSONAS;AGRESION SIN DAÑO;;128;128;33;102;149;191;109
HUANCAVELICA;FALTAS;FALTAS CONTRA LAS PERSONAS;DAÑO;6;;;31;31;51;71;35
HUANCAVELICA;FALTAS;FALTAS CONTRA LAS PERSONAS;FALTAS CONTRA LAS PERSONAS;2098;1;;;;;;
HUANCAVELICA;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION CULPOSA;;;;2;1;2;4;
HUANCAVELICA;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA;;;1;107;15;7;15;2
HUANCAVELICA;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA Y LESION CULPOSA;;558;505;;;;;
HUANCAVELICA;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES;;;346;;;;;
HUANCAVELICA;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO;;1031;812;59;61;104;93;46
HUANCAVELICA;FALTAS;OTRAS FALTAS (ESPECIFIQUE);OTRAS FALTAS (ESPECIFIQUE);1;;;;;;;
HUANUCO;FALTAS;FALTAS CONTRA EL PATRIMONIO;DAÑOS MATERIALES;23;8;;;;;;
HUANUCO;FALTAS;FALTAS CONTRA EL PATRIMONIO;FALTAS CONTRA EL PATRIMONIO;545;19;;;;;;
HUANUCO;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO FAMELICO;;3;2;1;1;;1;
HUANUCO;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE;151;118;69;145;137;140;124;55
HUANUCO;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE Y DAÑO;;278;209;;;;;
HUANUCO;FALTAS;FALTAS CONTRA EL PATRIMONIO;INGRESO DE ANIMALES EN INMUEBLE AJENO;;13;1;;1;;;1
HUANUCO;FALTAS;FALTAS CONTRA EL PATRIMONIO;ORGANIZACION O PARTICIPACION EN JUEGOS PROHIBIDOS;;15;;;;;;
HUANUCO;FALTAS;FALTAS CONTRA EL PATRIMONIO;PROTECCION DE SEÑALES SATELITALES ENCRIPTADAS;;1;;;;;;
HUANUCO;FALTAS;FALTAS CONTRA EL PATRIMONIO;USURPACION BREVE;;10;2;3;1;4;;1
HUANUCO;FALTAS;FALTAS CONTRA LA SEGURIDAD PUBLICA;FALTAS CONTRA LA SEGURIDAD PUBLICA;1158;80;51;6;10;7;10;3
HUANUCO;FALTAS;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;6;21;7;9;10;5;14;9
HUANUCO;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;FALTAS CONTRA LAS BUENAS COSTUMBRES;26;1;28;;;;;
HUANUCO;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;OTRAS FALTAS CONTRA LAS BUENAS COSTUMBRES;;42;12;29;14;14;;
HUANUCO;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;PERTURBACION DE LA TRANQUILIDAD;;19;8;;1;2;3;1
HUANUCO;FALTAS;FALTAS CONTRA LAS PERSONAS;AGRESION SIN DAÑO;2;140;100;159;108;72;87;65
HUANUCO;FALTAS;FALTAS CONTRA LAS PERSONAS;DAÑO;;;;73;73;116;148;97
HUANUCO;FALTAS;FALTAS CONTRA LAS PERSONAS;FALTAS CONTRA LAS PERSONAS;2809;32;;;;;;
HUANUCO;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION CULPOSA;;;;3;2;2;4;2
HUANUCO;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA;;3;26;54;33;15;12;4
HUANUCO;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA Y LESION CULPOSA;155;683;658;;;;;
HUANUCO;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES;;;234;;;;;
HUANUCO;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES;;;65;;;;;
HUANUCO;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO;;1307;835;149;240;282;192;101
HUANUCO;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO SIN LESION;1;;;;;;;
HUANUCO;FALTAS;OTRAS FALTAS (ESPECIFIQUE);OTRAS FALTAS (ESPECIFIQUE);168;;;;;;;
ICA;FALTAS;FALTAS CONTRA EL PATRIMONIO;DAÑOS MATERIALES;318;365;;;;;;
ICA;FALTAS;FALTAS CONTRA EL PATRIMONIO;FALTAS CONTRA EL PATRIMONIO;1248;323;;;;;;
ICA;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO FAMELICO;3;1;5;2;2;3;6;5
ICA;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE;300;330;336;437;306;517;560;475
ICA;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE Y DAÑO;;331;106;;;;;
ICA;FALTAS;FALTAS CONTRA EL PATRIMONIO;INGRESO DE ANIMALES EN INMUEBLE AJENO;;9;2;2;2;2;3;2
ICA;FALTAS;FALTAS CONTRA EL PATRIMONIO;ORGANIZACION O PARTICIPACION EN JUEGOS PROHIBIDOS;;31;;;;;;
ICA;FALTAS;FALTAS CONTRA EL PATRIMONIO;PROTECCION DE SEÑALES SATELITALES ENCRIPTADAS;;;;3;;;;
ICA;FALTAS;FALTAS CONTRA EL PATRIMONIO;USURPACION BREVE;;29;29;5;6;2;4;
ICA;FALTAS;FALTAS CONTRA LA SEGURIDAD PUBLICA;FALTAS CONTRA LA SEGURIDAD PUBLICA;101;11;36;16;13;30;25;23
ICA;FALTAS;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;18;24;54;32;23;37;24;19
ICA;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;FALTAS CONTRA LAS BUENAS COSTUMBRES;23;11;188;;;;;
ICA;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;OTRAS FALTAS CONTRA LAS BUENAS COSTUMBRES;;29;38;185;125;116;;
ICA;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;PERTURBACION DE LA TRANQUILIDAD;;;4;4;10;17;8;12
ICA;FALTAS;FALTAS CONTRA LAS PERSONAS;AGRESION SIN DAÑO;292;432;1004;885;586;691;537;443
ICA;FALTAS;FALTAS CONTRA LAS PERSONAS;DAÑO;18;5;;242;233;320;314;255
ICA;FALTAS;FALTAS CONTRA LAS PERSONAS;FALTAS CONTRA LAS PERSONAS;1527;819;;;;;;
ICA;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION CULPOSA;;4;;45;45;44;25;35
ICA;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA;2;35;221;547;430;595;741;703
ICA;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA Y LESION CULPOSA;258;434;81;;;;;
ICA;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES;;;35;;;;;
ICA;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES;;;157;;;;;
ICA;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES POR VIOLENCIA FAMILIAR;;;47;;;;;
ICA;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO;;433;164;446;385;548;594;416
ICA;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO SIN LESION;10;6;;;;;;
JUNIN;FALTAS;FALTAS CONTRA EL PATRIMONIO;DAÑOS MATERIALES;253;247;;;;;;
JUNIN;FALTAS;FALTAS CONTRA EL PATRIMONIO;FALTAS CONTRA EL PATRIMONIO;1582;259;;;;;;
JUNIN;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO FAMELICO;12;20;8;4;1;2;3;1
JUNIN;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE;908;779;805;1549;846;972;1358;1015
JUNIN;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE Y DAÑO;;496;249;;;;;
JUNIN;FALTAS;FALTAS CONTRA EL PATRIMONIO;INGRESO DE ANIMALES EN INMUEBLE AJENO;;12;4;;;2;;
JUNIN;FALTAS;FALTAS CONTRA EL PATRIMONIO;ORGANIZACION O PARTICIPACION EN JUEGOS PROHIBIDOS;;39;;;;;;
JUNIN;FALTAS;FALTAS CONTRA EL PATRIMONIO;PROTECCION DE SEÑALES SATELITALES ENCRIPTADAS;;1;;;;;;
JUNIN;FALTAS;FALTAS CONTRA EL PATRIMONIO;USURPACION BREVE;;25;17;2;1;1;4;2
JUNIN;FALTAS;FALTAS CONTRA LA SEGURIDAD PUBLICA;FALTAS CONTRA LA SEGURIDAD PUBLICA;216;306;126;23;12;9;6;1
JUNIN;FALTAS;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;3;36;51;8;20;17;16;4
JUNIN;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;FALTAS CONTRA LAS BUENAS COSTUMBRES;40;2;147;;;;;
JUNIN;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;OTRAS FALTAS CONTRA LAS BUENAS COSTUMBRES;;41;170;91;91;106;;
JUNIN;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;PERTURBACION DE LA TRANQUILIDAD;;11;8;3;4;4;7;3
JUNIN;FALTAS;FALTAS CONTRA LAS PERSONAS;AGRESION SIN DAÑO;96;686;447;578;460;555;590;358
JUNIN;FALTAS;FALTAS CONTRA LAS PERSONAS;DAÑO;;;;244;217;338;476;265
JUNIN;FALTAS;FALTAS CONTRA LAS PERSONAS;FALTAS CONTRA LAS PERSONAS;3070;544;;;;;;
JUNIN;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION CULPOSA;3;4;;96;66;66;46;14
JUNIN;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA;3;7;325;684;490;545;543;361
JUNIN;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA Y LESION CULPOSA;924;1232;267;;;;;
JUNIN;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES;;;196;;;;;
JUNIN;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES;;;17;;;;;
JUNIN;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES POR VIOLENCIA FAMILIAR;;;10;;;;;
JUNIN;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO;;1862;1366;84;126;180;205;171
JUNIN;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO SIN LESION;2;5;;;;;;
LA LIBERTAD;FALTAS;FALTAS CONTRA EL PATRIMONIO;DAÑOS MATERIALES;573;673;;;;;;
LA LIBERTAD;FALTAS;FALTAS CONTRA EL PATRIMONIO;FALTAS CONTRA EL PATRIMONIO;898;282;;;;;;
LA LIBERTAD;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO FAMELICO;3;23;2;3;7;3;3;8
LA LIBERTAD;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE;923;774;895;829;512;395;1133;667
LA LIBERTAD;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE Y DAÑO;;596;253;;;;;
LA LIBERTAD;FALTAS;FALTAS CONTRA EL PATRIMONIO;INGRESO DE ANIMALES EN INMUEBLE AJENO;;51;10;;;;;1
LA LIBERTAD;FALTAS;FALTAS CONTRA EL PATRIMONIO;ORGANIZACION O PARTICIPACION EN JUEGOS PROHIBIDOS;;59;;;;;;
LA LIBERTAD;FALTAS;FALTAS CONTRA EL PATRIMONIO;PROTECCION DE SEÑALES SATELITALES ENCRIPTADAS;;1;4;;;;;
LA LIBERTAD;FALTAS;FALTAS CONTRA EL PATRIMONIO;USURPACION BREVE;;57;53;20;12;15;10;11
LA LIBERTAD;FALTAS;FALTAS CONTRA LA SEGURIDAD PUBLICA;FALTAS CONTRA LA SEGURIDAD PUBLICA;244;145;130;12;30;13;13;17
LA LIBERTAD;FALTAS;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;21;56;88;42;35;30;31;32
LA LIBERTAD;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;FALTAS CONTRA LAS BUENAS COSTUMBRES;14;11;194;;;;;
LA LIBERTAD;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;OTRAS FALTAS CONTRA LAS BUENAS COSTUMBRES;;68;49;153;75;71;;
LA LIBERTAD;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;PERTURBACION DE LA TRANQUILIDAD;;30;23;10;7;8;3;10
LA LIBERTAD;FALTAS;FALTAS CONTRA LAS PERSONAS;AGRESION SIN DAÑO;357;867;989;808;501;477;559;317
LA LIBERTAD;FALTAS;FALTAS CONTRA LAS PERSONAS;DAÑO;19;2;;215;209;198;322;208
LA LIBERTAD;FALTAS;FALTAS CONTRA LAS PERSONAS;FALTAS CONTRA LAS PERSONAS;2226;418;;;;;;
LA LIBERTAD;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION CULPOSA;;2;;12;17;9;8;
LA LIBERTAD;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA;;1;83;131;96;108;180;90
LA LIBERTAD;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA Y LESION CULPOSA;402;1188;127;;;;;
LA LIBERTAD;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES;;;221;;;;;
LA LIBERTAD;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES;;;43;;;;;
LA LIBERTAD;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES POR VIOLENCIA FAMILIAR;;;47;;;;;
LA LIBERTAD;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO;;990;377;54;22;37;33;42
LA LIBERTAD;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO SIN LESION;17;14;;;;;;
LA LIBERTAD;FALTAS;OTRAS FALTAS (ESPECIFIQUE);OTRAS FALTAS (ESPECIFIQUE);1;;;;;;;
LAMBAYEQUE;FALTAS;FALTAS CONTRA EL PATRIMONIO;DAÑOS MATERIALES;728;953;;;;;;
LAMBAYEQUE;FALTAS;FALTAS CONTRA EL PATRIMONIO;FALTAS CONTRA EL PATRIMONIO;959;293;;;;;;
LAMBAYEQUE;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO FAMELICO;5;6;2;3;6;5;6;9
LAMBAYEQUE;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE;590;489;625;437;641;723;656;391
LAMBAYEQUE;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE Y DAÑO;;181;77;;;;;
LAMBAYEQUE;FALTAS;FALTAS CONTRA EL PATRIMONIO;INGRESO DE ANIMALES EN INMUEBLE AJENO;;27;3;1;1;;1;1
LAMBAYEQUE;FALTAS;FALTAS CONTRA EL PATRIMONIO;ORGANIZACION O PARTICIPACION EN JUEGOS PROHIBIDOS;;15;;;;;;
LAMBAYEQUE;FALTAS;FALTAS CONTRA EL PATRIMONIO;PROTECCION DE SEÑALES SATELITALES ENCRIPTADAS;;6;;;;;;
LAMBAYEQUE;FALTAS;FALTAS CONTRA EL PATRIMONIO;USURPACION BREVE;;12;15;11;9;11;12;4
LAMBAYEQUE;FALTAS;FALTAS CONTRA LA SEGURIDAD PUBLICA;FALTAS CONTRA LA SEGURIDAD PUBLICA;52;23;25;15;29;18;11;15
LAMBAYEQUE;FALTAS;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;30;37;85;50;76;92;150;99
LAMBAYEQUE;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;FALTAS CONTRA LAS BUENAS COSTUMBRES;24;18;435;;;;;
LAMBAYEQUE;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;OTRAS FALTAS CONTRA LAS BUENAS COSTUMBRES;;97;2;356;237;199;;
LAMBAYEQUE;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;PERTURBACION DE LA TRANQUILIDAD;;51;9;11;10;11;23;9
LAMBAYEQUE;FALTAS;FALTAS CONTRA LAS PERSONAS;AGRESION SIN DAÑO;263;442;713;762;634;667;689;656
LAMBAYEQUE;FALTAS;FALTAS CONTRA LAS PERSONAS;DAÑO;8;5;;414;403;617;630;413
LAMBAYEQUE;FALTAS;FALTAS CONTRA LAS PERSONAS;FALTAS CONTRA LAS PERSONAS;1665;634;;;;;;
LAMBAYEQUE;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION CULPOSA;5;1;;33;102;65;79;61
LAMBAYEQUE;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA;4;23;489;616;515;666;708;422
LAMBAYEQUE;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA Y LESION CULPOSA;460;803;;;;;;
LAMBAYEQUE;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES;;;55;;;;;
LAMBAYEQUE;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES;;;87;;;;;
LAMBAYEQUE;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES POR VIOLENCIA FAMILIAR;;;41;;;;;
LAMBAYEQUE;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO;;293;59;80;84;173;195;190
LAMBAYEQUE;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO SIN LESION;36;34;;;;;;
LAMBAYEQUE;FALTAS;OTRAS FALTAS (ESPECIFIQUE);OTRAS FALTAS (ESPECIFIQUE);1;;;;;;;
LIMA METROPOLITANA 1/;FALTAS;FALTAS CONTRA EL PATRIMONIO;CONSUMIR ALIMENTOS SABIENDO QUE NO PUEDE PAGAR;2;;;;;;;
LIMA METROPOLITANA 1/;FALTAS;FALTAS CONTRA EL PATRIMONIO;DAÑOS MATERIALES;5235;4506;;;;;;
LIMA METROPOLITANA 1/;FALTAS;FALTAS CONTRA EL PATRIMONIO;FALTAS CONTRA EL PATRIMONIO;3502;3353;;;;;;
LIMA METROPOLITANA 1/;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO FAMELICO;88;85;96;108;60;70;63;38
LIMA METROPOLITANA 1/;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE;20018;15931;21830;20681;9011;9208;8236;4877
LIMA METROPOLITANA 1/;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE Y DAÑO;;1;228;;;;;
LIMA METROPOLITANA 1/;FALTAS;FALTAS CONTRA EL PATRIMONIO;INGRESO DE ANIMALES EN INMUEBLE AJENO;;;3;2;1;1;;2
LIMA METROPOLITANA 1/;FALTAS;FALTAS CONTRA EL PATRIMONIO;PROTECCION DE SEÑALES SATELITALES ENCRIPTADAS;;;1;;;;2;
LIMA METROPOLITANA 1/;FALTAS;FALTAS CONTRA EL PATRIMONIO;USURPACION BREVE;;1;4;12;15;16;12;7
LIMA METROPOLITANA 1/;FALTAS;FALTAS CONTRA LA SEGURIDAD PUBLICA;FALTAS CONTRA LA SEGURIDAD PUBLICA;33;46;53;51;56;75;58;26
LIMA METROPOLITANA 1/;FALTAS;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;144;129;145;143;99;169;169;80
LIMA METROPOLITANA 1/;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;FALTAS CONTRA LAS BUENAS COSTUMBRES;68;68;748;;;;;
LIMA METROPOLITANA 1/;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;OTRAS FALTAS CONTRA LAS BUENAS COSTUMBRES;;67;;438;378;393;;
LIMA METROPOLITANA 1/;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;PERTURBACION DE LA TRANQUILIDAD;;2;18;17;28;48;61;35
LIMA METROPOLITANA 1/;FALTAS;FALTAS CONTRA LAS PERSONAS;AGRESION SIN DAÑO;6136;6076;8454;7353;4749;5200;4796;3133
LIMA METROPOLITANA 1/;FALTAS;FALTAS CONTRA LAS PERSONAS;DAÑO;43;86;;1011;778;995;1082;793
LIMA METROPOLITANA 1/;FALTAS;FALTAS CONTRA LAS PERSONAS;FALTAS CONTRA LAS PERSONAS;7281;6701;;;;;;
LIMA METROPOLITANA 1/;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION CULPOSA;41;49;;373;232;211;183;133
LIMA METROPOLITANA 1/;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA;255;448;3800;4985;3192;3440;3627;2458
LIMA METROPOLITANA 1/;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA Y LESION CULPOSA;6511;5820;177;;;;;
LIMA METROPOLITANA 1/;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES;;;36;;;;;
LIMA METROPOLITANA 1/;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES;;;789;;;;;
LIMA METROPOLITANA 1/;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES POR VIOLENCIA FAMILIAR;;;154;;;;;
LIMA METROPOLITANA 1/;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO;;37;333;1646;1469;1525;1787;1238
LIMA METROPOLITANA 1/;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO SIN LESION;191;201;;;;;;
LORETO;FALTAS;FALTAS CONTRA EL PATRIMONIO;DAÑOS MATERIALES;;58;;;;;;
LORETO;FALTAS;FALTAS CONTRA EL PATRIMONIO;FALTAS CONTRA EL PATRIMONIO;558;21;;;;;;
LORETO;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO FAMELICO;;1;4;2;3;;;
LORETO;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE;1;46;174;193;73;88;122;54
LORETO;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE Y DAÑO;;200;121;;;;;
LORETO;FALTAS;FALTAS CONTRA EL PATRIMONIO;INGRESO DE ANIMALES EN INMUEBLE AJENO;;2;4;;;;;
LORETO;FALTAS;FALTAS CONTRA EL PATRIMONIO;ORGANIZACION O PARTICIPACION EN JUEGOS PROHIBIDOS;;3;;;;;;
LORETO;FALTAS;FALTAS CONTRA EL PATRIMONIO;USURPACION BREVE;;3;1;1;;1;2;2
LORETO;FALTAS;FALTAS CONTRA LA SEGURIDAD PUBLICA;FALTAS CONTRA LA SEGURIDAD PUBLICA;1224;136;17;5;5;5;6;1
LORETO;FALTAS;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;;19;21;36;33;31;11;13
LORETO;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;FALTAS CONTRA LAS BUENAS COSTUMBRES;16;4;17;;;;;
LORETO;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;OTRAS FALTAS CONTRA LAS BUENAS COSTUMBRES;;424;2;28;16;19;;
LORETO;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;PERTURBACION DE LA TRANQUILIDAD;;7;33;3;3;1;;2
LORETO;FALTAS;FALTAS CONTRA LAS PERSONAS;AGRESION SIN DAÑO;;193;327;298;159;253;364;227
LORETO;FALTAS;FALTAS CONTRA LAS PERSONAS;DAÑO;;11;;69;35;42;56;43
LORETO;FALTAS;FALTAS CONTRA LAS PERSONAS;FALTAS CONTRA LAS PERSONAS;2204;197;;;;;;
LORETO;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION CULPOSA;;;;11;13;8;18;7
