DEPARTAMENTO DEL HECHO;GENERICA;ESPECIFICA;MODALIDAD;2015;2016;2017;2018;2019;2020;2021;2022
ANCASH;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES;;;46;;;;;
ANCASH;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES POR VIOLENCIA FAMILIAR;;;22;;;;;
ANCASH;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO;;514;433;105;94;136;102;61
ANCASH;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO SIN LESION;4;7;;;;;;
ANCASH;FALTAS;OTRAS FALTAS (ESPECIFIQUE);OTRAS FALTAS (ESPECIFIQUE);4;;;;;;;
APURIMAC;FALTAS;FALTAS CONTRA EL PATRIMONIO;DAÑOS MATERIALES;29;40;;;;;;
APURIMAC;FALTAS;FALTAS CONTRA EL PATRIMONIO;FALTAS CONTRA EL PATRIMONIO;423;40;;;;;;
APURIMAC;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO FAMELICO;;7;;4;3;;1;1
APURIMAC;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE;18;52;113;268;153;174;146;70
APURIMAC;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE Y DAÑO;;318;333;;;;;
APURIMAC;FALTAS;FALTAS CONTRA EL PATRIMONIO;INGRESO DE ANIMALES EN INMUEBLE AJENO;;21;31;;3;1;4;
APURIMAC;FALTAS;FALTAS CONTRA EL PATRIMONIO;ORGANIZACION O PARTICIPACION EN JUEGOS PROHIBIDOS;;22;;;;;;
APURIMAC;FALTAS;FALTAS CONTRA EL PATRIMONIO;PROTECCION DE SEÑALES SATELITALES ENCRIPTADAS;;1;;;;;;
APURIMAC;FALTAS;FALTAS CONTRA EL PATRIMONIO;USURPACION BREVE;;61;45;8;8;22;8;3
APURIMAC;FALTAS;FALTAS CONTRA LA SEGURIDAD PUBLICA;FALTAS CONTRA LA SEGURIDAD PUBLICA;37;66;67;9;6;6;9;2
APURIMAC;FALTAS;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;1;36;15;32;7;13;7;9
APURIMAC;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;FALTAS CONTRA LAS BUENAS COSTUMBRES;11;6;88;;;;;
APURIMAC;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;OTRAS FALTAS CONTRA LAS BUENAS COSTUMBRES;;73;5;76;66;73;;
APURIMAC;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;PERTURBACION DE LA TRANQUILIDAD;;28;9;;1;2;3;2
APURIMAC;FALTAS;FALTAS CONTRA LAS PERSONAS;AGRESION SIN DAÑO;14;249;451;763;686;690;790;467
APURIMAC;FALTAS;FALTAS CONTRA LAS PERSONAS;DAÑO;;;;185;220;225;227;129
APURIMAC;FALTAS;FALTAS CONTRA LAS PERSONAS;FALTAS CONTRA LAS PERSONAS;882;162;;;;;;
APURIMAC;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION CULPOSA;;;;23;9;9;8;9
APURIMAC;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA;;;35;268;164;135;111;85
APURIMAC;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA Y LESION CULPOSA;25;748;270;;;;;
APURIMAC;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES;;;339;;;;;
APURIMAC;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES;;;19;;;;;
APURIMAC;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES POR VIOLENCIA FAMILIAR;;;6;;;;;
APURIMAC;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO;;1170;1556;134;120;224;144;136
APURIMAC;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO SIN LESION;1;4;;;;;;
AREQUIPA;FALTAS;FALTAS CONTRA EL PATRIMONIO;DAÑOS MATERIALES;1202;1121;;;;;;
AREQUIPA;FALTAS;FALTAS CONTRA EL PATRIMONIO;FALTAS CONTRA EL PATRIMONIO;3166;1886;;;;;;
AREQUIPA;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO FAMELICO;10;11;15;21;7;10;12;8
AREQUIPA;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE;1404;1856;2976;3922;2133;2292;2849;1652
AREQUIPA;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE Y DAÑO;;859;665;;;;;
AREQUIPA;FALTAS;FALTAS CONTRA EL PATRIMONIO;INGRESO DE ANIMALES EN INMUEBLE AJENO;;29;29;1;3;6;4;3
AREQUIPA;FALTAS;FALTAS CONTRA EL PATRIMONIO;ORGANIZACION O PARTICIPACION EN JUEGOS PROHIBIDOS;;63;;;;;;
AREQUIPA;FALTAS;FALTAS CONTRA EL PATRIMONIO;PROTECCION DE SEÑALES SATELITALES ENCRIPTADAS;;;;;5;1;;1
AREQUIPA;FALTAS;FALTAS CONTRA EL PATRIMONIO;USURPACION BREVE;;55;45;25;23;32;25;17
AREQUIPA;FALTAS;FALTAS CONTRA LA SEGURIDAD PUBLICA;FALTAS CONTRA LA SEGURIDAD PUBLICA;234;53;207;35;26;29;28;20
